Generation,WOC,WOB,WMMd,WMMr,W_average
62,-0.061279794948822075,-0.47707786155455023,-0.9600194640807953,-0.061279800655633654,-0.061279795573321645
63,-0.06127979609677592,-0.47707786090023996,-0.9600194641023774,-0.06127980103312636,-0.06127979693000879
64,-0.061279796461738645,-0.4770778604347273,-0.9600194640225272,-0.061279800761647296,-0.06127979729246988
65,-0.061279796584592705,-0.47707786002759245,-0.9600194639113131,-0.061279800289499864,-0.061279797347506514
66,-0.06127979670744654,-0.47707785962045757,-0.9600194638000991,-0.061279799817352876,-0.06127979740254319
67,-0.061279796830300604,-0.47707785921332285,-0.960019463688885,-0.061279799345205666,-0.06127979745757993
68,-0.06127979695315455,-0.47707785880618814,-0.9600194635776709,-0.061279798873058455,-0.061279797512616585
69,-0.06127979707600839,-0.47707785839905337,-0.9600194634664568,-0.061279798400911245,-0.061279797567653185
70,-0.06127979683246909,-0.4770778581842851,-0.9600194633787699,-0.06127979798638061,-0.0612797973725461
71,-0.061279796221141214,-0.47707785816261555,-0.9600194633146995,-0.06127979762968616,-0.06127979692634285
72,-0.06127979560981345,-0.47707785814094616,-0.9600194632506291,-0.06127979727299171,-0.061279796480139655
73,-0.06127979499848546,-0.47707785811927683,-0.9600194631865587,-0.06127979691629726,-0.06127979603393633
74,-0.06127979438715769,-0.47707785809760733,-0.9600194631224883,-0.061279796559602806,-0.06127979558773314
